name	par	states	choices	obj	obj-prlb	mixed	category	achievable	storm.ach	multigain.ach
csn	N3	183	433	3	(0,0,3,0)	False	lra	False: 2	1	1.494065284729004
csn	N4	959	2767	4	(0,0,4,0)	False	lra	False: 2	1	2.4154820442199707
csn	N5	4863	16271	5	(0,0,5,0)	False	lra	False: 2	1	2.4964241981506348
phi	N4	9440	35464	2	(0,0,2,0)	False	lra	False: 2	1.0511579513549805	19.709036588668823
phi	N5	93068	437050	2	(0,0,2,0)	False	lra	False: 2	5.268418550491333	1000
phi	N6	2169805	12721289	2	(0,0,2,0)	False	lra	False: 1	323.65070271492004	1414
rab	N3	27766	45636	2	(0,0,2,0)	False	lra	False: 2	1	35.39082956314087
rab	N4	668836	1170736	2	(0,0,2,0)	False	lra	False: 2	25.897950887680054	1000
rab	N5	14348966	26091220	2	(0,0,2,0)	False	lra	False: 1	1000	1414
res	B100CAP5M5Unf0	2618	8577	2	(0,0,2,0)	False	lra	False: 2	1.0588996410369873	3.557736873626709
res	B100CAP15M15Unf0	220001	714781	2	(0,0,2,0)	False	lra	True: 2	1000	1000
res	B100CAP20M20Unf0	751908	2433877	2	(0,0,2,0)	False	lra	True: 1	169.81871509552002	1414
sen	N1	462	1079	3	(0,0,3,0)	False	lra	False: 2	1	1.8978559970855713
sen	N2	7860	24578	3	(0,0,3,0)	False	lra	False: 2	1	5.9680702686309814
sen	N3	77766	299871	3	(0,0,3,0)	False	lra	False: 2	27.325005292892456	767.1098802089691
sen	N4	572452	2611300	3	(0,0,3,0)	False	lra	False: 1	1000	1414
sen	N5	3565990	18757470	3	(0,0,3,0)	False	lra	nan	1414	1414
vir	N2	80	393	2	(0,0,2,0)	False	lra	False: 2	1	2.4452450275421143
vir	N3	19682	170578	2	(0,0,2,0)	False	lra	True: 2	1.1503474712371826	7.279261350631714
vir	N4	nan	nan	2	(0,0,2,0)	False	lra	nan	1414	1414
