i	storm.ach	prism.ach	epmc.ach
1	1	1.2947838306427002	1.078922986984253
2	1	1.3051550388336182	1.2031097412109375
3	1	1.3071167469024658	1.2958579063415527
4	1	1.3158764839172363	1.4548556804656982
5	1	1.3273322582244873	1.6894481182098389
6	1	1.3685650825500488	2.018688678741455
7	1	2.0236756801605225	2.021111249923706
8	1	2.1152265071868896	2.2519986629486084
9	1	2.490424394607544	2.516739845275879
10	1	2.705375909805298	2.5455119609832764
11	1	2.764319658279419	3.034301996231079
12	1	2.795474052429199	3.200611114501953
13	1	3.282029628753662	3.5061416625976562
14	1	4.635295629501343	5.169141530990601
15	1	5.789416074752808	8.251935482025146
16	1	6.9180638790130615	11.413145303726196
17	1	7.219241142272949	12.268322706222534
18	1.1157808303833008	7.841309309005737	12.546934366226196
19	1.3166720867156982	10.026371717453003	35.3585364818573
20	1.4279334545135498	12.93533992767334	40.927555561065674
21	1.635148525238037	27.883174180984497	41.46049475669861
22	2.3358333110809326	38.91659760475159	46.347084760665894
23	2.483668565750122	48.68340611457825	71.07661819458008
24	2.5499649047851562	55.17358040809631	119.91089582443237
25	6.360565185546875	85.16080856323242	136.88031554222107
26	7.520981073379517	117.93962001800537	137.82437801361084
27	9.02056336402893	150.11233830451965	161.7055525779724
28	10.938605070114136	159.76113629341125	1215.377652168274
29	13.750802278518677	203.1517038345337	2479.8512964248657
30	15.168311595916748	412.3776400089264	nan
31	19.376231908798218	455.0619683265686	nan
32	20.437331438064575	463.246386051178	nan
33	25.27376127243042	1050.6984589099884	nan
34	31.909748077392578	1567.774760723114	nan
35	92.0124728679657	1680.0819954872131	nan
36	258.0416188240051	2631.8333032131195	nan
37	373.10071420669556	4335.100602865219	nan
38	1155.202808380127	6700.396113157272	nan
39	1336.7675008773804	nan	nan
40	1365.4471468925476	nan	nan
41	nan	nan	nan
42	nan	nan	nan
43	nan	nan	nan
44	nan	nan	nan
45	nan	nan	nan
46	nan	nan	nan
